respondent_id,survey_date,session_source,role,region,city,institution_type,institution_tier,delivery_mode,discipline,program_level,year_of_study,age,ai_literacy_1to5,digital_comfort_1to5,internet_quality_1to5,ai_use_days_per_week,time_saved_hours_per_week,primary_ai_tool,other_tools_used,top_ai_use_cases,assessment_context_most_impacted,institution_policy_awareness,institution_ai_stance,cites_ai_sources_rate_0to1,verifies_ai_outputs_rate_0to1,perceived_learning_benefit_1to5,perceived_cheating_risk_1to5,perceived_dependency_risk_1to5,trust_in_ai_outputs_1to5,fairness_equity_concern_1to5,plagiarism_or_misuse_flag,student_grade_change_pct,student_stress_change_index,student_critical_thinking_change_index,staff_reported_ai_misuse_cases_last_term,ai_training_hours_last_6_months,ai_adoption_category
R100699,2025-10-05,Panel Discussion Survey,Student,Singapore,Singapore,Private University,Tier 3,On-campus,Sciences,Postgraduate,2,23,3,2,4,2,4.3,Notion AI,QuillBot; ChatGPT; Perplexity,Quiz practice,Online quiz,Not aware,Allowed (limited),0.3,0.48,4,5,2,3,4,0,2.4,-0.1,0.8,,1.0,Medium
R100700,2025-05-21,Panel Discussion Survey,Student,UK,Manchester,K-12 School,Tier 3,On-campus,Arts/Humanities,Undergraduate,3,22,2,2,4,4,6.5,Copilot,Perplexity,Quiz practice; Assignment writing,Take-home assignment,Heard of it,Unclear,0.27,0.62,3,3,5,3,5,0,6.1,3.2,0.8,,0.0,Medium
R100701,2025-02-16,Panel Discussion Survey,Student,Australia,Sydney,Private University,Tier 1,Hybrid,Engineering,Undergraduate,1,18,4,2,4,4,5.9,Perplexity,Copilot,Assignment writing; Presentation creation,In-class test,Read it,Allowed with citation,0.44,0.52,3,3,4,4,3,0,7.2,1.3,-2.7,,0.7,Medium
R100702,2025-09-15,Panel Discussion Survey,Student,Australia,Melbourne,Private University,Tier 2,Hybrid,Sciences,Undergraduate,2,18,4,2,4,5,4.3,Gemini,Stable Diffusion,Language improvement; Interview prep; Research summarization,Online quiz,Read it,Unclear,0.14,0.69,2,2,3,3,3,0,0.8,-5.5,1.5,,1.7,High
R100703,2025-03-20,Class Survey,Faculty,USA,New York,Private University,Tier 3,On-campus,Computer Science,Staff,,46,3,2,4,4,2.1,Copilot,ChatGPT; Claude,Presentation creation; Assignment writing,Project,Not aware,Allowed with citation,0.07,0.42,4,4,4,3,2,0,,,,2.0,6.8,Medium
R100704,2025-06-27,Panel Discussion Survey,Student,Australia,Brisbane,Public University,Tier 2,Hybrid,Computer Science,High School,12,15,3,2,4,3,3.8,ChatGPT,,Assignment writing; Interview prep; Note-making,Viva/Oral,Trained on it,Allowed with citation,0.47,0.4,3,3,2,4,4,0,-0.2,-8.9,-2.4,,2.1,Medium
R100705,2025-01-18,Panel Discussion Survey,Student,India,Mumbai,Private University,Tier 1,On-campus,Engineering,Undergraduate,2,20,3,2,4,4,6.7,Copilot,,Exam revision,Online quiz,Heard of it,Allowed (limited),0.28,0.0,3,3,3,4,2,0,0.8,-1.4,3.1,,1.8,Medium
R100706,2025-04-03,Class Survey,Faculty,India,Kolkata,Public University,Tier 3,Hybrid,Business,Staff,,41,2,2,4,3,5.7,Copilot,Stable Diffusion; ChatGPT; Perplexity,Note-making; Research summarization,In-class test,Read it,Allowed (limited),0.24,0.3,2,3,4,3,3,0,,,,5.0,9.6,Medium
R100707,2025-09-27,Panel Discussion Survey,Faculty,India,Hyderabad,Private University,Tier 1,On-campus,Arts/Humanities,Staff,,31,5,2,4,4,6.0,Midjourney,,Research summarization; Assignment writing; Interview prep,Online quiz,Not aware,Allowed with citation,0.6,0.51,4,4,2,4,4,1,,,,3.0,7.9,Medium
R100708,2024-12-31,Panel Discussion Survey,Student,India,Mumbai,Community College,Tier 2,On-campus,Sciences,High School,10,15,3,2,4,3,2.7,Perplexity,,Assignment writing; Interview prep; Note-making,Take-home assignment,Not aware,Not allowed,0.18,0.54,3,3,4,2,2,0,5.6,0.1,-1.8,,0.0,Medium
R100709,2025-09-05,Workshop Feedback,Student,India,Kolkata,Public University,Tier 1,Hybrid,Medicine,Undergraduate,2,20,2,2,4,3,2.0,DALL·E,Perplexity,Exam revision; Language improvement; Assignment writing,Take-home assignment,Not aware,Allowed (limited),0.18,0.41,1,3,3,3,1,0,-6.1,-2.9,-0.6,,2.5,Medium
R100710,2025-01-04,Panel Discussion Survey,Admin,India,Pune,Public University,Tier 2,Hybrid,Arts/Humanities,Staff,,35,2,2,4,3,3.6,Stable Diffusion,Grammarly,Assignment writing,In-class test,Read it,Allowed (limited),0.22,0.41,4,4,3,2,2,0,,,,0.0,10.5,Medium
R100711,2025-10-23,Panel Discussion Survey,Student,UK,Manchester,Community College,Tier 2,Online,Engineering,Undergraduate,1,21,3,2,4,6,7.2,ChatGPT,Copilot; Grammarly; Midjourney,Interview prep; Language improvement,Take-home assignment,Trained on it,Not allowed,0.46,0.62,3,3,5,4,3,1,-1.1,2.3,1.0,,1.5,High
R100712,2025-11-04,Panel Discussion Survey,Faculty,Canada,Toronto,Private University,Tier 2,Hybrid,Education,Staff,,61,2,2,4,2,4.6,Notion AI,Grammarly; Notion AI; QuillBot,Language improvement; Career guidance; Research summarization,Take-home assignment,Read it,Allowed with citation,0.22,0.0,3,2,3,4,5,0,,,,3.0,8.2,Medium
R100713,2025-06-24,Class Survey,Faculty,USA,Chicago,K-12 School,Tier 3,Online,Computer Science,Staff,,58,5,2,4,5,5.0,Gemini,,Exam revision,Take-home assignment,Trained on it,Allowed (limited),0.43,0.6,4,3,3,5,5,0,,,,3.0,17.3,High
R100714,2025-10-14,Panel Discussion Survey,Faculty,India,Hyderabad,EdTech Bootcamp,Tier 2,On-campus,Computer Science,Staff,,47,3,2,4,4,4.0,Midjourney,QuillBot; Grammarly,Interview prep; Assignment writing,Take-home assignment,Read it,Unclear,0.65,0.24,3,4,2,3,4,0,,,,4.0,6.3,Medium
R100715,2025-05-28,Panel Discussion Survey,Student,UK,Birmingham,EdTech Bootcamp,Tier 2,On-campus,Arts/Humanities,Undergraduate,1,21,1,2,4,0,4.1,Copilot,,Assignment writing,Project,Not aware,Allowed (limited),0.22,0.06,3,3,3,5,3,0,0.2,-3.1,-3.9,,2.0,Low
R100716,2025-08-25,Class Survey,Student,India,Mumbai,Private University,Tier 3,Online,Medicine,Postgraduate,2,29,3,2,4,4,7.9,ChatGPT,ChatGPT; QuillBot,Research summarization; Assignment writing,In-class test,Heard of it,Allowed with citation,0.47,0.4,3,1,3,3,4,0,0.5,-6.9,6.6,,1.9,Medium
R100717,2025-07-11,Panel Discussion Survey,Student,India,Pune,Public University,Tier 3,On-campus,Engineering,High School,10,15,3,2,4,4,3.0,ChatGPT,,Exam revision,Viva/Oral,Heard of it,Unclear,0.02,0.45,4,4,3,3,4,0,9.1,-4.7,1.2,,1.9,Medium
R100718,2025-07-07,Workshop Feedback,Student,India,Mumbai,Community College,Tier 1,Hybrid,Business,High School,11,17,3,2,4,5,8.9,Grammarly,Stable Diffusion; Copilot; Gemini,Assignment writing; Exam revision,Project,Read it,Allowed (limited),0.12,0.54,4,3,3,4,3,0,-0.9,-2.6,-1.5,,3.2,Medium
R100719,2024-12-24,Panel Discussion Survey,Faculty,India,Mumbai,Community College,Tier 1,On-campus,Computer Science,Staff,,29,4,2,4,6,5.0,ChatGPT,QuillBot; Copilot,Assignment writing; Quiz practice; Exam revision,Project,Read it,Allowed (limited),0.53,0.61,4,3,3,2,4,0,,,,2.0,12.6,High
R100720,2025-07-30,Class Survey,Student,India,Chennai,Community College,Tier 2,Hybrid,Education,Postgraduate,1,21,3,2,4,3,2.7,Claude,,Assignment writing; Exam revision,Take-home assignment,Not aware,Allowed (limited),0.31,0.3,2,3,2,3,3,0,1.3,-0.0,1.0,,2.2,Medium
R100721,2025-10-01,Workshop Feedback,Student,Canada,Toronto,Private University,Tier 3,On-campus,Engineering,Undergraduate,1,21,3,2,4,4,4.2,Midjourney,Gemini; ChatGPT,Research summarization; Exam revision,In-class test,Read it,Allowed with citation,0.28,0.41,4,3,3,3,4,0,5.4,-0.6,-1.7,,0.0,Medium
R100722,2025-12-10,Workshop Feedback,Student,UK,Manchester,Public University,Tier 2,Hybrid,Engineering,Undergraduate,2,18,2,2,4,2,2.2,ChatGPT,,Note-making; Coding help; Interview prep,In-class test,Read it,Not allowed,0.11,0.63,4,1,2,3,2,0,-3.2,-4.9,-0.5,,0.0,Medium
R100723,2025-10-20,Workshop Feedback,Faculty,UK,Manchester,Public University,Tier 1,Hybrid,Sciences,Staff,,41,2,2,4,2,3.6,Grammarly,,Assignment writing; Interview prep; Coding help,In-class test,Read it,Not allowed,0.46,0.66,3,4,1,3,3,0,,,,2.0,0.0,Medium
R100724,2025-05-10,Panel Discussion Survey,Student,India,Mumbai,Public University,Tier 2,On-campus,Education,Postgraduate,2,25,2,2,4,3,3.8,Grammarly,Grammarly; Gemini,Career guidance; Assignment writing; Note-making,Take-home assignment,Not aware,Not allowed,0.4,0.31,4,4,3,2,4,0,-0.6,-3.3,0.3,,1.1,Medium
R100725,2025-01-12,Panel Discussion Survey,Student,Canada,Ottawa,Public University,Tier 2,On-campus,Business,Undergraduate,3,22,2,2,4,2,3.6,Claude,Midjourney,Research summarization; Language improvement; Exam revision,Take-home assignment,Heard of it,Allowed with citation,0.27,0.39,4,4,3,3,1,0,5.9,-7.2,-3.0,,0.0,Medium
R100726,2025-01-07,Panel Discussion Survey,Student,UK,Manchester,EdTech Bootcamp,Tier 2,On-campus,Arts/Humanities,Postgraduate,1,28,3,2,4,4,4.0,ChatGPT,Grammarly,Presentation creation,Online quiz,Read it,Not allowed,0.39,0.29,5,4,2,3,4,0,3.0,-7.9,-3.5,,0.0,Medium
R100727,2025-11-19,Class Survey,Student,India,Hyderabad,Public University,Tier 3,On-campus,Computer Science,Postgraduate,1,25,2,2,4,4,5.5,ChatGPT,,Assignment writing; Research summarization,Online quiz,Not aware,Unclear,0.23,0.55,4,2,3,3,4,0,9.5,-1.4,6.9,,0.0,Medium
R100728,2025-09-03,Panel Discussion Survey,Student,USA,Austin,Community College,Tier 3,On-campus,Business,Postgraduate,1,25,3,2,4,6,7.4,Stable Diffusion,ChatGPT,Presentation creation; Quiz practice; Research summarization,In-class test,Read it,Unclear,0.23,0.87,4,4,3,4,1,0,-1.9,3.6,-3.9,,0.0,High
R100729,2025-05-21,Panel Discussion Survey,Student,UAE,Abu Dhabi,EdTech Bootcamp,Tier 2,Online,Education,Postgraduate,1,28,2,2,4,3,0.8,Grammarly,Perplexity; Stable Diffusion,Assignment writing; Presentation creation; Interview prep,In-class test,Not aware,Unclear,0.19,0.27,3,3,2,1,3,1,-1.5,-8.6,0.8,,2.0,Medium
R100730,2025-01-19,Class Survey,Student,India,Mumbai,Private University,Tier 2,On-campus,Computer Science,Undergraduate,1,17,3,2,4,4,5.8,Claude,Gemini; Perplexity; ChatGPT,Presentation creation,Online quiz,Not aware,Unclear,0.49,0.66,4,2,4,4,3,0,4.5,-3.0,-3.2,,0.6,Medium
R100731,2025-03-18,Panel Discussion Survey,Student,India,Pune,Private University,Tier 2,On-campus,Business,Postgraduate,1,27,3,2,4,2,2.6,Midjourney,Copilot; Claude; DALL·E,Interview prep; Coding help,Online quiz,Not aware,Allowed (limited),0.28,0.58,4,4,2,3,2,0,1.3,-1.7,-2.6,,1.6,Medium
R100732,2025-03-07,Class Survey,Student,UAE,Dubai,K-12 School,Tier 2,Hybrid,Sciences,Undergraduate,3,23,3,2,4,6,5.8,ChatGPT,ChatGPT,Research summarization; Note-making; Assignment writing,Project,Not aware,Unclear,0.36,0.42,3,4,4,3,2,0,2.1,-0.7,0.3,,0.0,High
R100733,2025-01-05,Workshop Feedback,Student,India,Mumbai,Private University,Tier 2,On-campus,Education,Undergraduate,2,19,2,2,4,3,2.8,ChatGPT,Stable Diffusion; Grammarly,Exam revision; Interview prep,Project,Heard of it,Unclear,0.2,0.24,4,5,2,2,3,0,-4.8,-3.5,0.5,,3.2,Medium
R100734,2025-03-28,Panel Discussion Survey,Student,India,Kolkata,Private University,Tier 2,On-campus,Sciences,Undergraduate,4,17,4,2,4,5,5.2,ChatGPT,Khanmigo; Perplexity,Note-making; Coding help; Assignment writing,Online quiz,Read it,Allowed with citation,0.59,0.98,2,4,3,3,4,0,3.3,-4.8,2.3,,0.5,High
R100735,2025-12-15,Panel Discussion Survey,Student,India,Bengaluru,K-12 School,Tier 2,Hybrid,Sciences,Undergraduate,3,23,3,2,4,4,4.3,QuillBot,,Coding help,In-class test,Heard of it,Allowed with citation,0.23,0.59,4,3,4,3,4,0,6.1,1.3,-0.7,,2.5,Medium
R100736,2025-11-20,Panel Discussion Survey,Student,Singapore,Singapore,K-12 School,Tier 2,Hybrid,Business,High School,10,18,4,2,4,5,9.5,Copilot,ChatGPT,Research summarization; Assignment writing; Quiz practice,In-class test,Not aware,Allowed (limited),0.69,0.7,5,4,3,3,4,0,4.5,0.7,1.8,,1.3,High
R100737,2025-08-21,Panel Discussion Survey,Student,India,Hyderabad,K-12 School,Tier 1,Online,Arts/Humanities,Postgraduate,1,21,2,2,4,4,9.0,Grammarly,Gemini,Interview prep; Note-making,Take-home assignment,Read it,Unclear,0.18,0.33,4,3,4,3,2,0,6.9,-1.7,1.6,,0.0,Medium
R100738,2025-04-04,Panel Discussion Survey,Student,India,Delhi,EdTech Bootcamp,Tier 2,On-campus,Engineering,Postgraduate,1,27,3,2,4,5,0.5,Gemini,,Assignment writing; Coding help; Interview prep,In-class test,Heard of it,Unclear,0.25,0.46,4,3,4,4,4,0,3.9,4.2,-6.0,,4.5,Medium
R100739,2025-08-03,Class Survey,Student,India,Hyderabad,Private University,Tier 2,Hybrid,Education,Undergraduate,4,18,2,2,4,5,7.0,QuillBot,,Note-making; Quiz practice,Project,Heard of it,Unclear,0.64,0.15,4,3,3,4,4,0,2.1,-0.1,2.4,,3.1,Medium
R100740,2025-03-09,Panel Discussion Survey,Student,Australia,Perth,K-12 School,Tier 2,Online,Engineering,Undergraduate,1,21,3,2,4,4,6.7,Khanmigo,Gemini,Coding help,Online quiz,Read it,Unclear,0.16,0.59,3,5,4,3,1,1,-3.2,0.9,2.1,,0.9,Medium
R100741,2025-02-13,Panel Discussion Survey,Student,UAE,Sharjah,Community College,Tier 2,Online,Computer Science,Undergraduate,3,19,3,2,4,6,6.8,Copilot,Copilot; Stable Diffusion; QuillBot,Coding help; Interview prep; Assignment writing,Online quiz,Heard of it,Allowed (limited),0.34,0.38,3,3,3,4,4,0,7.3,-1.7,-0.2,,2.6,High
R100742,2025-03-20,Panel Discussion Survey,Faculty,Australia,Brisbane,Community College,Tier 1,Online,Computer Science,Staff,,49,4,2,4,6,9.1,ChatGPT,DALL·E; Khanmigo,Presentation creation; Coding help,Take-home assignment,Read it,Allowed (limited),0.6,0.35,4,5,3,4,4,0,,,,4.0,4.5,High
R100743,2025-10-11,Panel Discussion Survey,Student,India,Pune,K-12 School,Tier 3,On-campus,Law,Postgraduate,2,29,4,2,4,5,9.3,Grammarly,Copilot; ChatGPT; Grammarly,Coding help,Online quiz,Not aware,Allowed (limited),0.14,0.38,4,2,3,3,3,0,3.5,-0.8,2.7,,0.8,High
R100744,2025-10-17,Panel Discussion Survey,Student,India,Bengaluru,K-12 School,Tier 3,Online,Computer Science,Postgraduate,2,26,4,2,4,3,0.9,Gemini,Claude; ChatGPT,Assignment writing; Exam revision; Coding help,Take-home assignment,Not aware,Unclear,0.47,0.96,5,3,5,5,1,0,7.2,3.5,1.1,,0.1,Medium
R100745,2025-07-25,Panel Discussion Survey,Student,UAE,Abu Dhabi,K-12 School,Tier 2,Online,Arts/Humanities,Undergraduate,1,20,3,2,4,4,5.1,ChatGPT,Perplexity,Assignment writing; Language improvement,In-class test,Not aware,Allowed (limited),0.07,0.4,3,4,3,3,5,0,0.5,-3.7,2.7,,1.2,Medium
R100746,2025-11-08,Workshop Feedback,Student,India,Delhi,Private University,Tier 2,Hybrid,Sciences,Undergraduate,3,17,2,2,4,5,9.9,Notion AI,Gemini,Research summarization,Online quiz,Read it,Not allowed,0.29,0.44,4,2,2,3,3,0,6.9,-4.7,0.3,,1.7,Medium
R100747,2025-04-30,Panel Discussion Survey,Student,Canada,Montreal,Community College,Tier 2,Hybrid,Education,Postgraduate,1,24,2,2,4,2,0.0,Perplexity,Notion AI,Exam revision,Take-home assignment,Not aware,Allowed with citation,0.65,0.15,4,3,3,3,4,1,-4.3,2.4,1.9,,1.5,Medium
R100748,2025-01-04,Panel Discussion Survey,Faculty,Australia,Brisbane,Private University,Tier 2,Online,Engineering,Staff,,27,4,2,4,5,5.8,QuillBot,Copilot; Gemini,Presentation creation; Exam revision; Interview prep,In-class test,Read it,Unclear,0.0,0.5,4,4,2,2,2,0,,,,2.0,3.7,High
R100749,2025-08-07,Panel Discussion Survey,Faculty,UAE,Sharjah,Community College,Tier 3,On-campus,Business,Staff,,52,4,2,4,4,3.9,Gemini,Grammarly,Career guidance; Coding help; Assignment writing,Take-home assignment,Read it,Allowed (limited),0.41,0.28,4,2,4,4,4,0,,,,3.0,7.6,Medium
R100750,2025-09-19,Class Survey,Student,Singapore,Singapore,K-12 School,Tier 1,Hybrid,Sciences,Undergraduate,3,18,2,2,4,4,6.9,Gemini,ChatGPT; Khanmigo; Midjourney,Exam revision,Take-home assignment,Not aware,Allowed with citation,0.2,0.44,3,4,4,3,4,0,0.7,0.6,-3.8,,0.0,Medium
R100751,2025-02-10,Workshop Feedback,Student,UAE,Sharjah,K-12 School,Tier 1,Hybrid,Arts/Humanities,Undergraduate,3,22,2,2,4,2,4.8,Grammarly,Stable Diffusion; Khanmigo; Perplexity,Quiz practice; Presentation creation; Career guidance,In-class test,Not aware,Unclear,0.1,0.21,4,5,3,3,3,0,-1.0,-5.9,-2.1,,1.8,Medium
R100752,2025-02-01,Panel Discussion Survey,Student,India,Delhi,Private University,Tier 2,Hybrid,Engineering,Postgraduate,1,21,4,2,4,4,5.1,Grammarly,ChatGPT,Exam revision; Quiz practice; Language improvement,Project,Not aware,Allowed with citation,0.14,0.67,4,5,2,5,2,0,1.4,-8.2,3.2,,0.1,Medium
R100753,2025-05-26,Panel Discussion Survey,Student,UAE,Abu Dhabi,Private University,Tier 1,Hybrid,Sciences,Undergraduate,4,18,3,2,4,5,6.1,Copilot,,Presentation creation,In-class test,Not aware,Allowed (limited),0.55,0.13,4,3,3,3,3,0,0.5,-3.4,-2.7,,0.0,Medium
R100754,2025-08-12,Panel Discussion Survey,Student,India,Pune,Private University,Tier 2,On-campus,Business,Undergraduate,1,22,4,2,4,4,1.4,Copilot,Copilot,Assignment writing; Coding help,Take-home assignment,Read it,Allowed (limited),0.46,0.42,5,3,2,3,2,0,4.6,1.2,1.5,,0.8,Medium
R100755,2025-02-17,Workshop Feedback,Student,Canada,Toronto,Public University,Tier 3,On-campus,Engineering,Undergraduate,2,22,3,2,4,2,5.2,ChatGPT,,Assignment writing; Quiz practice; Note-making,In-class test,Not aware,Allowed (limited),0.02,0.66,2,3,2,3,2,0,4.4,-9.1,0.0,,0.4,Medium
R100756,2025-08-20,Class Survey,Student,India,Chennai,Public University,Tier 1,On-campus,Computer Science,Undergraduate,1,21,3,2,4,6,6.5,Copilot,,Note-making; Assignment writing; Coding help,Take-home assignment,Heard of it,Allowed (limited),0.18,0.73,5,3,3,2,4,0,5.8,0.7,0.9,,0.0,High
R100757,2025-02-01,Panel Discussion Survey,Faculty,India,Kolkata,EdTech Bootcamp,Tier 2,Hybrid,Computer Science,Staff,,37,4,2,4,6,6.9,Stable Diffusion,ChatGPT; Perplexity; Stable Diffusion,Exam revision; Coding help; Note-making,Project,Heard of it,Allowed (limited),0.32,0.53,3,4,4,3,3,0,,,,2.0,7.6,High
R100758,2025-04-14,Class Survey,Student,UAE,Abu Dhabi,Private University,Tier 2,Hybrid,Engineering,Undergraduate,4,22,3,2,4,6,9.1,ChatGPT,ChatGPT; Gemini; Grammarly,Note-making,Project,Heard of it,Allowed with citation,0.07,0.38,3,3,2,3,3,0,10.9,-6.6,-2.7,,1.6,High
R100759,2025-12-19,Class Survey,Student,India,Pune,EdTech Bootcamp,Tier 3,Online,Education,Undergraduate,2,19,2,2,4,4,5.2,Notion AI,,Coding help,Online quiz,Not aware,Allowed (limited),0.3,0.39,3,5,2,3,2,0,3.0,1.2,3.7,,0.1,Medium
R100760,2025-01-10,Workshop Feedback,Student,India,Chennai,Public University,Tier 2,Hybrid,Business,Undergraduate,2,23,2,2,4,4,6.8,ChatGPT,Notion AI; ChatGPT; Grammarly,Presentation creation; Research summarization; Coding help,Online quiz,Not aware,Allowed (limited),0.33,0.74,3,3,5,4,3,1,-9.3,0.2,2.7,,0.0,Medium
R100761,2025-04-05,Panel Discussion Survey,Student,UK,Edinburgh,K-12 School,Tier 1,Hybrid,Education,High School,11,15,2,2,4,3,4.8,Claude,ChatGPT,Exam revision; Coding help,Project,Not aware,Unclear,0.32,0.32,4,4,5,4,3,0,4.7,2.6,-0.1,,1.7,Medium
R100762,2025-04-13,Class Survey,Student,India,Hyderabad,Private University,Tier 2,On-campus,Law,Undergraduate,4,21,3,2,4,4,5.2,QuillBot,ChatGPT,Career guidance; Note-making; Coding help,In-class test,Read it,Allowed (limited),0.71,0.45,3,3,4,3,2,0,-7.9,4.8,1.7,,0.8,Medium
R100763,2024-12-26,Workshop Feedback,Student,UAE,Abu Dhabi,K-12 School,Tier 2,Hybrid,Sciences,Postgraduate,2,24,2,2,4,3,4.2,Notion AI,Khanmigo,Note-making; Quiz practice; Interview prep,Online quiz,Heard of it,Allowed with citation,0.11,0.18,5,3,3,3,4,1,-7.1,-3.0,0.7,,1.7,Medium
R100764,2025-08-20,Panel Discussion Survey,Faculty,India,Pune,Community College,Tier 3,Online,Computer Science,Staff,,38,4,2,4,4,2.6,ChatGPT,ChatGPT; Notion AI; Copilot,Coding help,In-class test,Not aware,Allowed (limited),0.33,0.41,4,4,4,5,4,0,,,,2.0,5.7,Medium
R100765,2025-03-11,Workshop Feedback,Student,India,Kolkata,K-12 School,Tier 2,Hybrid,Law,Undergraduate,2,19,2,2,4,2,2.1,Copilot,Khanmigo; Stable Diffusion,Coding help; Career guidance,In-class test,Read it,Allowed with citation,0.19,0.45,4,4,3,1,2,0,2.7,-4.8,-2.3,,1.6,Medium
R100766,2025-05-06,Class Survey,Student,India,Bengaluru,EdTech Bootcamp,Tier 2,Online,Computer Science,Undergraduate,3,21,3,2,4,4,7.0,ChatGPT,,Presentation creation,Project,Read it,Allowed (limited),0.5,0.61,2,3,1,3,3,1,0.2,-7.0,-4.2,,0.0,Medium
R100767,2025-05-04,Panel Discussion Survey,Student,UK,Birmingham,Private University,Tier 3,Online,Education,High School,10,17,2,2,4,4,3.0,Claude,,Presentation creation; Note-making; Research summarization,Project,Heard of it,Unclear,0.41,0.42,2,4,3,2,1,0,-1.6,-1.2,-3.9,,3.3,Medium
R100768,2025-10-18,Class Survey,Student,Singapore,Singapore,Public University,Tier 2,On-campus,Engineering,High School,12,16,3,2,4,2,1.0,QuillBot,,Presentation creation; Quiz practice,In-class test,Trained on it,Unclear,0.2,0.6,4,4,3,5,3,0,7.7,2.7,2.6,,0.0,Medium
R100769,2024-12-26,Class Survey,Student,India,Hyderabad,Public University,Tier 1,Hybrid,Education,Postgraduate,1,28,2,2,4,1,0.0,Gemini,Gemini,Research summarization,Viva/Oral,Not aware,Allowed with citation,0.54,0.19,3,5,3,4,4,0,0.3,-3.3,-2.1,,2.4,Low
R100770,2025-05-27,Panel Discussion Survey,Student,Singapore,Singapore,K-12 School,Tier 2,Hybrid,Business,Undergraduate,3,23,3,2,4,5,6.3,Copilot,ChatGPT; Perplexity; Midjourney,Coding help,Online quiz,Read it,Allowed (limited),0.19,0.25,4,3,4,3,2,0,7.2,-3.5,-0.5,,0.9,Medium
R100771,2025-08-08,Panel Discussion Survey,Student,USA,Boston,Private University,Tier 3,Hybrid,Arts/Humanities,High School,11,18,2,2,4,2,5.2,Perplexity,Claude; Midjourney,Exam revision,Online quiz,Read it,Allowed (limited),0.43,0.51,1,2,5,3,3,0,0.9,-0.7,-0.1,,4.4,Medium
R100772,2025-11-02,Class Survey,Student,USA,San Francisco,Private University,Tier 2,On-campus,Computer Science,Undergraduate,4,23,4,2,4,5,7.1,Midjourney,DALL·E; Khanmigo; Claude,Presentation creation,Online quiz,Heard of it,Allowed (limited),0.56,0.44,3,3,3,3,3,0,3.2,-4.0,-1.1,,1.2,High
R100773,2025-06-30,Class Survey,Faculty,UK,Manchester,Community College,Tier 2,On-campus,Computer Science,Staff,,60,4,2,4,5,1.6,ChatGPT,,Assignment writing; Language improvement; Exam revision,Project,Read it,Unclear,0.49,0.32,4,5,2,5,5,0,,,,6.0,4.6,High
R100774,2025-02-14,Workshop Feedback,Student,UK,Edinburgh,Private University,Tier 2,On-campus,Arts/Humanities,Undergraduate,4,21,2,2,4,3,4.9,Perplexity,Perplexity; Grammarly; ChatGPT,Note-making,Viva/Oral,Not aware,Unclear,0.22,0.41,3,2,3,1,5,0,0.9,-5.5,-3.4,,0.0,Medium
R100775,2025-04-25,Workshop Feedback,Faculty,Canada,Vancouver,K-12 School,Tier 2,Hybrid,Business,Staff,,58,3,2,4,3,2.7,ChatGPT,,Note-making; Assignment writing; Research summarization,Project,Heard of it,Allowed with citation,0.29,0.47,3,3,3,3,4,0,,,,2.0,4.0,Medium
R100776,2025-04-06,Class Survey,Student,UAE,Dubai,K-12 School,Tier 2,On-campus,Education,Undergraduate,3,21,2,2,4,4,5.8,ChatGPT,QuillBot,Exam revision; Research summarization,In-class test,Heard of it,Unclear,0.37,0.34,2,3,3,3,2,0,0.4,-4.9,-0.1,,1.8,Medium
R100777,2025-11-11,Panel Discussion Survey,Student,UAE,Sharjah,K-12 School,Tier 2,On-campus,Education,Postgraduate,1,24,2,2,4,4,4.5,Gemini,Stable Diffusion; Gemini; Copilot,Quiz practice; Career guidance; Exam revision,Online quiz,Read it,Not allowed,0.37,0.66,4,3,2,2,3,0,-1.7,-8.7,3.9,,0.0,Medium
R100778,2025-08-23,Panel Discussion Survey,Student,India,Bengaluru,K-12 School,Tier 1,Hybrid,Arts/Humanities,Doctorate,2,31,3,2,4,4,3.1,Grammarly,Gemini,Career guidance,In-class test,Not aware,Not allowed,0.48,0.79,3,4,4,3,4,0,0.6,-6.1,2.2,,0.1,Medium
R100779,2025-03-20,Class Survey,Faculty,India,Hyderabad,K-12 School,Tier 2,On-campus,Education,Staff,,36,2,2,4,2,2.3,ChatGPT,,Coding help,Online quiz,Read it,Allowed with citation,0.41,0.54,4,4,2,1,2,0,,,,2.0,6.0,Medium
R100780,2025-08-29,Panel Discussion Survey,Student,USA,New York,Community College,Tier 3,Online,Law,Undergraduate,3,21,1,2,4,2,1.5,DALL·E,ChatGPT; Grammarly; Gemini,Assignment writing,Viva/Oral,Not aware,Not allowed,0.27,0.37,5,3,2,4,1,0,-1.9,-2.9,0.4,,2.8,Low
R100781,2025-01-24,Panel Discussion Survey,Faculty,India,Delhi,EdTech Bootcamp,Tier 2,On-campus,Sciences,Staff,,53,3,2,4,3,4.2,Copilot,,Presentation creation,Project,Heard of it,Allowed with citation,0.6,0.7,5,5,3,3,2,0,,,,4.0,1.6,Medium
R100782,2025-10-01,Class Survey,Student,India,Pune,Public University,Tier 3,On-campus,Computer Science,Undergraduate,2,22,3,2,4,2,0.6,Midjourney,Grammarly; QuillBot; Notion AI,Research summarization; Coding help,In-class test,Heard of it,Allowed (limited),0.24,0.48,4,2,2,4,4,0,4.8,-2.5,-3.5,,0.0,Medium
